idx,accelX_g,accelY_g,accelZ_g,magX_uT,magY_uT,magZ_uT,gyroX_dps,gyroY_dps,gyroZ_dps,gyroX_deg,gyroY_deg,gyroZ_deg,temp_C,humidity,pres_Pa,alt_m
350.0,0.095,0.934,0.013,-29.4,-79.6,11.4,-1.938,-3.062,0.312,89.222,-5.787,149.563,25.64,42.26,99708.19,140.87
351.0,0.091,0.935,0.012,-30.0,-77.9,10.9,-1.812,-2.875,0.188,89.282,-5.544,152.015,25.638,42.31,99705.98,141.06
352.0,0.092,0.935,0.01,-29.5,-79.0,11.4,-2.0,-3.125,0.0,89.402,-5.604,150.558,25.642,42.25,99704.52,141.19
353.0,0.094,0.935,0.01,-29.5,-79.0,13.2,-1.438,-3.5,0.125,89.402,-5.722,146.873,25.644,42.33,99706.63,141.01
354.0,0.093,0.934,0.011,-29.1,-78.3,12.3,-1.75,-3.25,0.25,89.341,-5.669,148.14,25.646,42.3,99704.88,141.16
355.0,0.092,0.936,0.014,-29.6,-79.0,12.9,-1.688,-3.375,0.062,89.164,-5.598,147.162,25.648,42.26,99707.23,140.96
356.0,0.091,0.936,0.013,-28.8,-78.7,11.8,-1.75,-3.25,-0.25,89.223,-5.538,148.61,25.649,42.27,99704.22,141.22
357.0,0.094,0.935,0.01,-29.1,-77.2,11.7,-1.938,-3.688,0.0,89.402,-5.722,149.548,25.647,42.29,99705.7,141.09
358.0,0.094,0.935,0.012,-28.1,-78.9,12.3,-1.562,-3.0,-0.312,89.282,-5.722,146.545,25.648,42.22,99708.41,140.85
359.0,0.092,0.935,0.011,-29.2,-77.5,12.4,-1.562,-2.875,-0.062,89.342,-5.604,148.289,25.651,42.22,99707.14,140.96
360.0,0.094,0.935,0.011,-29.2,-78.5,11.4,-2.062,-3.125,0.375,89.342,-5.722,149.926,25.653,42.22,99706.71,141.0
361.0,0.095,0.936,0.015,-28.8,-78.9,12.7,-1.688,-3.5,-0.25,89.104,-5.775,146.103,25.653,42.24,99705.53,141.11
362.0,0.095,0.935,0.012,-28.5,-77.9,12.9,-1.688,-3.125,-0.5,89.282,-5.781,145.942,25.653,42.21,99703.38,141.3
363.0,0.097,0.933,0.014,-29.0,-79.3,12.6,-1.875,-3.312,-0.062,89.161,-5.912,146.385,25.66,42.22,99707.36,140.95
364.0,0.095,0.934,0.012,-29.4,-79.1,11.3,-1.938,-3.25,-0.188,89.282,-5.787,150.001,25.658,42.2,99706.35,141.04
365.0,0.092,0.933,0.01,-28.5,-78.2,13.2,-2.0,-3.625,-0.062,89.401,-5.615,145.928,25.656,42.18,99706.49,141.02
366.0,0.093,0.935,0.012,-29.2,-78.7,12.7,-2.312,-3.688,0.312,89.282,-5.663,147.29,25.656,42.19,99707.93,140.9
367.0,0.09,0.935,0.009,-29.3,-78.5,13.3,-2.062,-3.25,-0.312,89.462,-5.485,147.072,25.658,42.19,99705.63,141.1
368.0,0.093,0.934,0.01,-29.3,-78.8,10.2,-1.812,-3.562,-0.625,89.401,-5.669,152.73,25.657,42.15,99706.59,141.02
369.0,0.093,0.936,0.013,-29.3,-78.2,12.5,-1.688,-3.25,-0.375,89.223,-5.657,147.722,25.659,42.17,99705.1,141.15
370.0,0.092,0.935,0.009,-29.5,-79.3,11.9,-1.688,-3.625,0.125,89.462,-5.604,149.687,25.662,42.11,99707.41,140.95
371.0,0.093,0.933,0.012,-30.0,-78.0,13.3,-1.812,-3.062,0.375,89.281,-5.675,147.203,25.661,42.16,99707.31,140.95
372.0,0.095,0.934,0.011,-29.5,-78.3,12.3,-1.5,-3.312,-0.375,89.341,-5.787,148.417,25.668,42.16,99707.34,140.96
373.0,0.092,0.934,0.01,-29.2,-78.4,12.8,-1.938,-3.5,0.25,89.401,-5.609,147.541,25.666,42.12,99706.21,141.05
